,label,combined_symptoms
2488,Dimorphic hemmorhoids(piles), constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus            
2489,Heart attack, vomiting  breathlessness  sweating  chest pain             
2490,Varicose veins, fatigue  cramps  bruising  obesity  swollen legs  swollen blood vessels  prominent veins on calf          
2491,Hypothyroidism, fatigue  weight gain  cold hands and feets  mood swings  lethargy  dizziness  puffy face and eyes  enlarged thyroid  brittle nails  swollen extremeties  depression  irritability  abnormal menstruation    
2492,Hyperthyroidism, fatigue  mood swings  weight loss  restlessness  sweating  diarrhoea  fast heart rate  excessive hunger  muscle weakness  irritability  abnormal menstruation      
2493,Hypoglycemia, vomiting  fatigue  anxiety  sweating  headache  nausea  blurred and distorted vision  excessive hunger  drying and tingling lips  slurred speech  irritability  palpitations     
2494,Osteoarthristis, joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking           
2495,Arthritis, muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking            
2496,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness           
2497,Acne, skin rash  pus filled pimples  blackheads  scurring             
2498,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine             
2499,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
2500,Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
2501,Fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches             
2502,Allergy, continuous sneezing  shivering  chills  watering from eyes             
2503,GERD, stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain           
2504,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
2505,Drug Reaction,itching  skin rash  stomach pain  burning micturition  spotting  urination            
2506,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
2507,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
2508,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
2509,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
2510,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
2511,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
2512,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances        
2513,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
2514,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
2515,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
2516,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
2517,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body      
2518,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body   
2519,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
2520,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
2521,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
2522,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
2523,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes        
2524,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
2525,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
2526,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum 
2527,Common Cold, continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain
2528,Pneumonia, chills  fatigue  cough  high fever  breathlessness  sweating  malaise  phlegm  chest pain  fast heart rate  rusty sputum      
2529,Dimorphic hemmorhoids(piles), constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus            
2530,Heart attack, vomiting  breathlessness  sweating  chest pain             
2531,Varicose veins, fatigue  cramps  bruising  obesity  swollen legs  swollen blood vessels  prominent veins on calf          
2532,Hypothyroidism, fatigue  weight gain  cold hands and feets  mood swings  lethargy  dizziness  puffy face and eyes  enlarged thyroid  brittle nails  swollen extremeties  depression  irritability  abnormal menstruation    
2533,Hyperthyroidism, fatigue  mood swings  weight loss  restlessness  sweating  diarrhoea  fast heart rate  excessive hunger  muscle weakness  irritability  abnormal menstruation      
2534,Hypoglycemia, vomiting  fatigue  anxiety  sweating  headache  nausea  blurred and distorted vision  excessive hunger  drying and tingling lips  slurred speech  irritability  palpitations     
2535,Osteoarthristis, joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking           
2536,Arthritis, muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking            
2537,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness           
2538,Acne, skin rash  pus filled pimples  blackheads  scurring             
2539,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine             
2540,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
2541,Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
2542,Fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches             
2543,Allergy, continuous sneezing  shivering  chills  watering from eyes             
2544,GERD, stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain           
2545,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
2546,Drug Reaction,itching  skin rash  stomach pain  burning micturition  spotting  urination            
2547,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
2548,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
2549,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
2550,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
2551,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
2552,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
2553,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances        
2554,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
2555,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
2556,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
2557,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
2558,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body      
2559,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body   
2560,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
2561,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
2562,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
2563,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
2564,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes        
2565,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
2566,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
2567,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum 
2568,Common Cold, continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain
2569,Pneumonia, chills  fatigue  cough  high fever  breathlessness  sweating  malaise  phlegm  chest pain  fast heart rate  rusty sputum      
2570,Dimorphic hemmorhoids(piles), constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus            
2571,Heart attack, vomiting  breathlessness  sweating  chest pain             
2572,Varicose veins, fatigue  cramps  bruising  obesity  swollen legs  swollen blood vessels  prominent veins on calf          
2573,Hypothyroidism, fatigue  weight gain  cold hands and feets  mood swings  lethargy  dizziness  puffy face and eyes  enlarged thyroid  brittle nails  swollen extremeties  depression  irritability  abnormal menstruation    
2574,Hyperthyroidism, fatigue  mood swings  weight loss  restlessness  sweating  diarrhoea  fast heart rate  excessive hunger  muscle weakness  irritability  abnormal menstruation      
2575,Hypoglycemia, vomiting  fatigue  anxiety  sweating  headache  nausea  blurred and distorted vision  excessive hunger  drying and tingling lips  slurred speech  irritability  palpitations     
2576,Osteoarthristis, joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking           
2577,Arthritis, muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking            
2578,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness           
2579,Acne, skin rash  pus filled pimples  blackheads  scurring             
2580,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine             
2581,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
2582,Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
2583,Fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches             
2584,Allergy, continuous sneezing  shivering  chills  watering from eyes             
2585,GERD, stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain           
2586,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
2587,Drug Reaction,itching  skin rash  stomach pain  burning micturition  spotting  urination            
2588,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
2589,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
2590,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
2591,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
2592,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
2593,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
2594,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances        
2595,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
2596,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
2597,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
2598,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
2599,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body      
2600,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body   
2601,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
2602,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
2603,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
2604,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
2605,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes        
2606,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
2607,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
2608,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum 
2609,Common Cold, continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain
2610,Pneumonia, chills  fatigue  cough  high fever  breathlessness  sweating  malaise  phlegm  chest pain  fast heart rate  rusty sputum      
2611,Dimorphic hemmorhoids(piles), constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus            
2612,Heart attack, vomiting  breathlessness  sweating  chest pain             
2613,Varicose veins, fatigue  cramps  bruising  obesity  swollen legs  swollen blood vessels  prominent veins on calf          
2614,Hypothyroidism, fatigue  weight gain  cold hands and feets  mood swings  lethargy  dizziness  puffy face and eyes  enlarged thyroid  brittle nails  swollen extremeties  depression  irritability  abnormal menstruation    
2615,Hyperthyroidism, fatigue  mood swings  weight loss  restlessness  sweating  diarrhoea  fast heart rate  excessive hunger  muscle weakness  irritability  abnormal menstruation      
2616,Hypoglycemia, vomiting  fatigue  anxiety  sweating  headache  nausea  blurred and distorted vision  excessive hunger  drying and tingling lips  slurred speech  irritability  palpitations     
2617,Osteoarthristis, joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking           
2618,Arthritis, muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking            
2619,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness           
2620,Acne, skin rash  pus filled pimples  blackheads  scurring             
2621,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine             
2622,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
2623,Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
2624,Fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches             
2625,Allergy, continuous sneezing  shivering  chills  watering from eyes             
2626,GERD, stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain           
2627,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
2628,Drug Reaction,itching  skin rash  stomach pain  burning micturition  spotting  urination            
2629,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
2630,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
2631,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
2632,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
2633,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
2634,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
2635,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances        
2636,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
2637,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
2638,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
2639,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
2640,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body      
2641,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body   
2642,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
2643,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
2644,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
2645,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
2646,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes        
2647,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
2648,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
2649,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum 
2650,Common Cold, continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain
2651,Pneumonia, chills  fatigue  cough  high fever  breathlessness  sweating  malaise  phlegm  chest pain  fast heart rate  rusty sputum      
2652,Dimorphic hemmorhoids(piles), constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus            
2653,Heart attack, vomiting  breathlessness  sweating  chest pain             
2654,Varicose veins, fatigue  cramps  bruising  obesity  swollen legs  swollen blood vessels  prominent veins on calf          
2655,Hypothyroidism, fatigue  weight gain  cold hands and feets  mood swings  lethargy  dizziness  puffy face and eyes  enlarged thyroid  brittle nails  swollen extremeties  depression  irritability  abnormal menstruation    
2656,Hyperthyroidism, fatigue  mood swings  weight loss  restlessness  sweating  diarrhoea  fast heart rate  excessive hunger  muscle weakness  irritability  abnormal menstruation      
2657,Hypoglycemia, vomiting  fatigue  anxiety  sweating  headache  nausea  blurred and distorted vision  excessive hunger  drying and tingling lips  slurred speech  irritability  palpitations     
2658,Osteoarthristis, joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking           
2659,Arthritis, muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking            
2660,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness           
2661,Acne, skin rash  pus filled pimples  blackheads  scurring             
2662,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine             
2663,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
2664,Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
2665,Fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches             
2666,Allergy, continuous sneezing  shivering  chills  watering from eyes             
2667,GERD, stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain           
2668,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
2669,Drug Reaction,itching  skin rash  stomach pain  burning micturition  spotting  urination            
2670,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
2671,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
2672,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
2673,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
2674,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
2675,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
2676,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances        
2677,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
2678,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
2679,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
2680,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
2681,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body      
2682,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body   
2683,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
2684,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
2685,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
2686,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
2687,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes        
2688,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
2689,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
2690,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum 
2691,Common Cold, continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain
2692,Pneumonia, chills  fatigue  cough  high fever  breathlessness  sweating  malaise  phlegm  chest pain  fast heart rate  rusty sputum      
2693,Dimorphic hemmorhoids(piles), constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus            
2694,Heart attack, vomiting  breathlessness  sweating  chest pain             
2695,Varicose veins, fatigue  cramps  bruising  obesity  swollen legs  swollen blood vessels  prominent veins on calf          
2696,Hypothyroidism, fatigue  weight gain  cold hands and feets  mood swings  lethargy  dizziness  puffy face and eyes  enlarged thyroid  brittle nails  swollen extremeties  depression  irritability  abnormal menstruation    
2697,Hyperthyroidism, fatigue  mood swings  weight loss  restlessness  sweating  diarrhoea  fast heart rate  excessive hunger  muscle weakness  irritability  abnormal menstruation      
2698,Hypoglycemia, vomiting  fatigue  anxiety  sweating  headache  nausea  blurred and distorted vision  excessive hunger  drying and tingling lips  slurred speech  irritability  palpitations     
2699,Osteoarthristis, joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking           
2700,Arthritis, muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking            
2701,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness           
2702,Acne, skin rash  pus filled pimples  blackheads  scurring             
2703,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine             
2704,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
2705,Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
2706,Fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches             
2707,Allergy, continuous sneezing  shivering  chills  watering from eyes             
2708,GERD, stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain           
2709,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
2710,Drug Reaction,itching  skin rash  stomach pain  burning micturition  spotting  urination            
2711,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
2712,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
2713,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
2714,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
2715,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
2716,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
2717,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances        
2718,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
2719,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
2720,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
2721,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
2722,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body      
2723,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body   
2724,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
2725,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
2726,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
2727,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
2728,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes        
2729,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
2730,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
2731,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum 
2732,Common Cold, continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain
2733,Pneumonia, chills  fatigue  cough  high fever  breathlessness  sweating  malaise  phlegm  chest pain  fast heart rate  rusty sputum      
2734,Dimorphic hemmorhoids(piles), constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus            
